"TranscriptId","strength3","GeneId"
"NM_001317238.2",-22.87,"ATAD3B"
"NR_121638.1",-1.85,"LOC100996583"
"NM_022114.4",-24.96,"PRDM16"
"NM_002617.4",-3.64,"PEX10"
"NR_147025.1",-7.16,"LINC01646"
"NR_027088.1",-2.85,"LINC01777"
"NM_001303012.2",-11.45,"PLCH2"
"NM_001303013.1",-3.73,"PLCH2"
"NM_014638.4",-3.73,"PLCH2"
"NM_025106.4",-12.59,"SPSB1"
"NM_001328619.2",-26.03,"SLC2A5"
"NM_001328621.2",-26.03,"SLC2A5"
"NM_001135585.2",-26.03,"SLC2A5"
"NM_015164.4",-0.74,"PLEKHM2"
"NM_001297779.2",-25.53,"NMNAT1"
"NM_001297778.1",-25.53,"NMNAT1"
"NM_022787.4",-25.53,"NMNAT1"
"NM_152492.3",-21.47,"CCDC27"
"NM_020780.2",-1.42,"DISP3"
"NM_033467.4",-22.85,"MMEL1"
"NM_001136216.2",-23.01,"TMEM51"
"NR_135082.2",-1.53,"TMEM51"
"NM_018994.3",4.86,"FBXO42"
"NM_001161504.2",-5.96,"ALDH4A1"
"NM_001319218.2",-5.96,"ALDH4A1"
"NR_046428.2",-13.75,"CLCN6"
"NM_033440.3",-7.16,"CELA2A"
"NM_015849.3",-7.16,"CELA2B"
"NM_007033.5",-13.66,"RER1"
"NM_018216.4",-17.31,"PANK4"
"NM_015378.4",1.37,"VPS13D"
"NM_001083621.2",3.19,"ZBTB40"
"NM_001010926.4",6.09,"HES5"
"NM_001243533.2",-8.23,"PDIK1L"
"NM_001243532.2",-12.48,"PDIK1L"
"NM_018090.5",3.68,"NECAP2"
"NM_032513.5",-20.1,"SLC30A2"
"NM_001350159.2",-13.8,"PHACTR4"
"NM_023923.4",-17.78,"PHACTR4"
"NM_001297647.2",-4.57,"CNKSR1"
"NM_017638.3",-21.33,"MED18"
"NR_110790.1",-8.47,"LINC01648"
"NR_046474.2",-11.24,"SLC9A1"
"NM_014654.4",-30.48,"SDC3"
"NM_031459.5",-6.59,"SESN2"
"NM_001199038.2",-16.8,"SERINC2"
"NM_178865.5",-11.2,"SERINC2"
"NM_001199039.2",-13.5,"SERINC2"
"NM_001199037.2",-21.67,"SERINC2"
"NM_001042478.2",-3.32,"AJAP1"
"NM_024522.3",-15.68,"NKAIN1"
"NM_004814.3",-22.37,"SNRNP40"
"NM_032315.3",1.45,"SLC25A33"
"NR_110758.1",-24.74,"LINC01756"
"NM_001282560.2",-13.5,"EYA3"
"NM_001282562.2",-13.5,"EYA3"
"NM_015871.5",-6.38,"ZNF593"
"NM_004102.5",-9.01,"FABP3"
"NM_001329090.2",-28.38,"EPHA2"
"NM_153213.5",-19.73,"ARHGEF19"
"NM_201628.3",-7.59,"KAZN"
"NM_001017999.3",7.82,"KAZN"
"NM_001018001.3",-10.92,"KAZN"
"NR_027085.1",-3.75,"LINC01226"
"NM_001410744.1",-15.83,"UBE4B"
"NR_027136.1",-25.67,"TMEM51-AS1"
"NM_000929.3",-22.13,"PLA2G5"
"NM_005704.5",-4.2,"PTPRU"
"NM_007167.4",-14.39,"ZMYM6"
"NR_146062.2",-8.47,"AGO4"
"NM_001256875.2",-0.36,"CDCA8"
"NM_030907.4",-28.87,"CPLANE2"
"NM_001145720.2",0.52,"ZBTB8B"
"NM_001135254.2",3.82,"PAX7"
"NM_002584.3",3.82,"PAX7"
"NM_004455.3",-25.47,"EXTL1"
"NM_001079843.3",-22.29,"CASZ1"
"NM_017766.5",-22.29,"CASZ1"
"NM_024758.5",-14.67,"AGMAT"
"NM_003462.5",-9.39,"DNALI1"
"NM_001271851.2",-7.83,"RRAGC"
"NM_000831.4",-19.95,"GRIK3"
"NM_001271814.2",-7.61,"PLA2G2D"
"NM_024640.4",-10.55,"YRDC"
"NM_007102.3",2.44,"GUCA2B"
"NM_018715.4",-4.6,"RCC2"
"NM_001136204.3",-14.6,"RCC2"
"NM_001199779.2",-18.5,"PSMB2"
"NM_001199780.2",-24.44,"PSMB2"
"NR_102733.2",-17.86,"CASP9"
"NM_032996.3",-17.86,"CASP9"
"NM_032341.5",-11.35,"DDI2"
"NM_001297565.2",-18.94,"UQCRH"
"NR_168386.1",-4.61,"MIR3659HG"
"NM_207421.4",-2.24,"PADI6"
"NM_012387.3",5.42,"PADI4"
"NM_198446.3",-21.56,"C1orf122"
"NR_125946.1",-13.54,"LINC01654"
"NM_001099439.2",-21.08,"EPHA10"
"NM_173641.3",-21.08,"EPHA10"
"NM_001243878.2",-40.3,"FHL3"
"NM_001304746.2",-17.54,"RHBDL2"
"NM_017821.5",-17.54,"RHBDL2"
"NM_001350227.2",-17.83,"INPP5B"
"NM_001350228.1",-17.83,"INPP5B"
"NR_158631.1",-17.83,"INPP5B"
"NM_001365822.1",-23.13,"INPP5B"
"NM_005540.3",-23.13,"INPP5B"
"NR_158630.1",-23.13,"INPP5B"
"NM_001101376.3",-13.86,"CFAP144"
"NM_001375653.1",-10.21,"ZMYM4"
"NM_016037.4",-17.83,"UTP11"
"NM_030812.3",-13.69,"ACTL8"
"NM_012421.4",1.85,"RLF"
"NM_001330490.2",-11.79,"CLSPN"
"NM_001190481.2",-11.79,"CLSPN"
"NM_001323624.2",-10.15,"GNL2"
"NM_024848.3",-17.54,"MORN1"
"NM_001301060.2",-17.54,"MORN1"
"NM_017904.4",-12.47,"TTC22"
"NM_005424.5",0.31,"TIE1"
"NM_012333.5",-24.77,"MYCBP"
"NR_037632.1",-24.77,"MYCBP"
"NM_001080418.3",-23.76,"DLGAP3"
"NM_014747.3",-34.6,"RIMS3"
"NM_001198962.1",-19.97,"ECHDC2"
"NM_002867.4",-9.67,"RAB3B"
"NM_001164824.2",-13.14,"SMIM12"
"NM_182532.3",5.38,"TMEM61"
"NR_038928.1",-1.42,"LINC01343"
"NM_001304760.2",-24.95,"CZIB"
"NM_176782.3",-23.79,"FAM151A"
"NM_001199080.4",-2.21,"PODN"
"NM_001350210.2",-8.8,"OSBPL9"
"NM_001164829.2",-38.92,"C1orf210"
"NM_001004339.3",4.73,"ZYG11A"
"NM_024646.3",-15.7,"ZYG11B"
"NR_125986.1",-22.37,"ST3GAL3-AS1"
"NM_001164835.2",6.61,"L1TD1"
"NM_015913.4",-7.05,"TXNDC12"
"NR_126385.1",-18.14,"TXNDC12-AS1"
"NM_001320830.2",-6.5,"SF3A3"
"NR_027120.1",-11.12,"HSD52"
"NM_004623.5",-13.38,"TTC4"
"NM_173484.4",-4.92,"KLF17"
"NM_003713.5",-25.82,"PLPP3"
"NM_024700.4",-13.31,"SNIP1"
"NM_000098.3",-5.72,"CPT2"
"NM_001198851.2",-30.26,"FOXJ3"
"NM_001198852.2",-18.7,"FOXJ3"
"NM_015269.2",-25.44,"TUT4"
"NM_002370.4",-14.1,"MAGOH"
"NR_110671.1",-25.44,"DEPDC1-AS1"
"NR_146608.1",8.45,"LINC01707"
"NM_001262.3",-9.89,"CDKN2C"
"NR_131923.1",-14.14,"LRP8-DT"
"NM_152377.3",-16.87,"C1orf87"
"NM_145243.5",-1.94,"OMA1"
"NM_015139.3",-28.57,"SLC35D1"
"NM_033300.4",-23.03,"LRP8"
"NM_153035.3",-2.46,"TCEANC2"
"NM_001256409.2",-5.2,"LRRC42"
"NR_110676.1",-14.4,"LINC01360"
"NR_149059.1",-13.37,"LINC02567"
"NM_001320269.2",-33.24,"KANK4"
"NM_003368.5",3.32,"USP1"
"NM_001017415.2",6.47,"USP1"
"NM_174858.3",-7.17,"AK5"
"NM_012093.4",-4.16,"AK5"
"NM_001304725.2",-5.52,"GIPC2"
"NM_017655.6",-5.52,"GIPC2"
"NM_014495.4",-9.21,"ANGPTL3"
"NM_001256864.2",-6.2,"DNAJC6"
"NM_001256865.2",-3.14,"DNAJC6"
"NM_001330616.2",-5.65,"AK4"
"NM_013410.4",-16.99,"AK4"
"NM_203464.3",-3.01,"AK4"
"NM_001005353.3",-11.03,"AK4"
"NM_001198681.2",-0.83,"LEPROT"
"NM_020925.4",5.63,"CACHD1"
"NM_001293274.2",-12.82,"CACHD1"
"NM_032437.4",-6.84,"EFCAB7"
"NM_153259.4",-13.13,"MCOLN2"
"NM_030965.3",-14.36,"ST6GALNAC5"
"NM_032852.4",1.76,"ATG4C"
"NR_123718.1",-24.3,"PDE4B-AS1"
"NR_026546.3",-31.85,"ASB17"
"NM_022159.4",-23.81,"ADGRL4"
"NM_005955.3",-17.4,"MTF1"
"NM_001350215.2",-15.52,"TTLL7"
"NM_014663.3",4.35,"KDM4A"
"NR_046218.1",-18.19,"NEGR1-IT1"
"NM_001170670.2",0.68,"ZNHIT6"
"NM_001039585.2",-1.59,"PTGFR"
"NM_001369491.1",-21.16,"LMO4"
"NM_032864.4",5.21,"PRPF38A"
"NM_005482.3",-13.3,"PIGK"
"NR_146056.2",4.03,"ST6GALNAC3"
"NR_110682.1",-13.17,"PKN2-AS1"
"NM_033553.3",-26.47,"GUCA2A"
"NM_001272002.2",-28.64,"DOCK7"
"NM_173808.3",-4.38,"NEGR1"
"NM_001441.3",7.96,"FAAH"
"NM_001349447.1",-23.38,"KYAT3"
"NM_001349449.1",-23.38,"KYAT3"
"NR_146185.1",-23.38,"KYAT3"
"NR_146184.2",-13.07,"KYAT3"
"NM_001042693.3",2.07,"SHISAL2A"
"NM_014597.5",-30.39,"DNTTIP2"
"NM_001329138.2",-18.42,"PTPRF"
"NM_014762.4",2.62,"DHCR24"
"NR_146340.2",-30.66,"COL24A1"
"NR_146341.2",-30.66,"COL24A1"
"NR_146344.1",-30.66,"COL24A1"
"NM_057176.3",2.05,"BSND"
"NM_015696.5",-11.35,"GPX7"
"NR_146575.2",-12.44,"SLC44A3"
"NM_001350223.1",4.13,"SLC44A3"
"NM_152369.5",4.13,"SLC44A3"
"NR_147074.1",-23.87,"LINC01362"
"NR_038324.1",-16.68,"LINC01364"
"NM_001122674.2",-0.38,"ABCD3"
"NR_131032.2",-9.6,"ALG14"
"NR_164777.1",-9.78,"ZZZ3"
"NR_164775.1",-9.78,"ZZZ3"
"NR_135075.2",-16.34,"YIPF1"
"NM_001276392.2",-18.12,"LDLRAD1"
"NM_032110.3",-23.78,"DMRTA2"
"NM_001127714.3",-13.42,"HIVEP3"
"NR_135161.2",-3.47,"TM2D1"
"NM_002979.5",-2.6,"SCP2"
"NM_001330587.2",-2.6,"SCP2"
"NM_001007099.3",-3.79,"SCP2"
"NM_001261408.2",-22.18,"BCAR3"
"NM_001261409.1",-15.94,"BCAR3"
"NM_001308251.1",-8.08,"BCAR3"
"NM_020063.2",-6.25,"BARHL2"
"NM_019100.5",-0.6,"DMAP1"
"NM_001242675.2",-7.66,"AHCYL1"
"NM_001242673.2",6.72,"AHCYL1"
"NM_001242674.2",6.72,"AHCYL1"
"NM_001286056.2",-15.65,"CNN3"
"NM_001286055.2",-15.65,"CNN3"
"NM_001079874.2",-12.09,"VAV3"
"NR_110632.1",-11.19,"LINC01361"
